# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC139,Enoch Mgijima,50-59,male,9388,False
Eastern Cape,EC139,Enoch Mgijima,50-59,female,12212,False
Eastern Cape,EC139,Enoch Mgijima,60-69,male,7167,False
Eastern Cape,EC139,Enoch Mgijima,60-69,female,11123,False
Eastern Cape,EC139,Enoch Mgijima,70-79,male,3585,False
Eastern Cape,EC139,Enoch Mgijima,70-79,female,5993,False
Eastern Cape,EC139,Enoch Mgijima,80+,male,1128,False
Eastern Cape,EC139,Enoch Mgijima,80+,female,2745,False
Eastern Cape,EC141,Elundini,18-19,male,778,True
Eastern Cape,EC141,Elundini,18-19,female,696,True
Eastern Cape,EC141,Elundini,20-29,male,5550,True
Eastern Cape,EC141,Elundini,20-29,female,5130,True
Eastern Cape,EC141,Elundini,30-39,male,7289,False
Eastern Cape,EC141,Elundini,30-39,female,7072,False
Eastern Cape,EC141,Elundini,40-49,male,5863,False
Eastern Cape,EC141,Elundini,40-49,female,6010,False
Eastern Cape,EC141,Elundini,50-59,male,3990,False
Eastern Cape,EC141,Elundini,50-59,female,5827,False
Eastern Cape,EC141,Elundini,60-69,male,3478,False
Eastern Cape,EC141,Elundini,60-69,female,5734,False
Eastern Cape,EC141,Elundini,70-79,male,2098,False
Eastern Cape,EC141,Elundini,70-79,female,3480,False
Eastern Cape,EC141,Elundini,80+,male,1198,False
Eastern Cape,EC141,Elundini,80+,female,2603,False
Eastern Cape,EC142,Senqu,18-19,male,917,True
Eastern Cape,EC142,Senqu,18-19,female,1071,True
Eastern Cape,EC142,Senqu,20-29,male,5186,True
Eastern Cape,EC142,Senqu,20-29,female,6226,True
Eastern Cape,EC142,Senqu,30-39,male,6890,False
Eastern Cape,EC142,Senqu,30-39,female,7693,False
Eastern Cape,EC142,Senqu,40-49,male,6155,False
Eastern Cape,EC142,Senqu,40-49,female,6947,False
Eastern Cape,EC142,Senqu,50-59,male,4376,False
Eastern Cape,EC142,Senqu,50-59,female,5684,False
Eastern Cape,EC142,Senqu,60-69,male,3730,False
Eastern Cape,EC142,Senqu,60-69,female,5553,False
Eastern Cape,EC142,Senqu,70-79,male,1942,False
Eastern Cape,EC142,Senqu,70-79,female,3391,False
Eastern Cape,EC142,Senqu,80+,male,740,False
Eastern Cape,EC142,Senqu,80+,female,1959,False
Eastern Cape,EC145,Walter Sisulu,18-19,male,531,True
Eastern Cape,EC145,Walter Sisulu,18-19,female,690,True
Eastern Cape,EC145,Walter Sisulu,20-29,male,3373,True
Eastern Cape,EC145,Walter Sisulu,20-29,female,4346,True
